id,calories,proteins,fat,carbohydrate,name,label
51,371.0,14.1,35.0,0.0,Babi daging kurus segar,Non-Vegetarian
52,110.0,16.3,4.6,0.8,Babi ginjal segar,Non-Vegetarian
53,129.0,19.7,4.8,1.7,Babi hati segar,Non-Vegetarian
54,491.0,24.6,16.3,0.2,Babi hutan masak rica masakan,Non-Vegetarian
55,102.9,3.3,2.7,16.3,Bacang,Vegetarian
56,450.0,3.2,13.9,78.1,Bagea kelapa asin,Vegetarian
57,452.0,1.3,13.8,80.6,Bagea kelapa manis,Vegetarian
58,529.0,3.2,29.1,63.6,Bagea kenari asin,Vegetarian
59,523.0,3.2,28.2,64.2,Bagea kenari manis,Vegetarian
60,416.0,6.5,9.4,76.3,Bagea kw 1,Vegetarian
61,382.0,0.3,3.5,87.2,Bagea kw 2,Vegetarian
62,129.0,1.9,6.6,15.6,Baje,Vegetarian
63,272.0,8.7,6.7,44.1,Bakpia kue,Vegetarian
64,76.0,4.1,2.5,9.2,Bakso ,Non-Vegetarian
65,27.0,2.0,0.2,4.2,Bakung segar,Non-Vegetarian
66,280.0,8.2,10.2,39.0,Bakwan,Vegetarian
67,13.0,0.4,0.2,3.0,Baligo,Vegan
68,190.0,3.3,0.3,43.5,Bantal,Vegan
69,159.0,3.1,5.8,23.5,Barongko,Vegan
70,137.0,4.3,4.8,19.1,Batang Tading,Vegan
71,107.0,2.2,2.2,19.6,Batar daan,Vegan
72,76.0,1.1,0.9,16.0,Batatas gembili segar,Vegan
73,110.0,1.4,1.1,23.4,Batatas kelapa ubi bakar,Vegan
74,92.0,1.2,0.3,21.0,Batatas kelapa ubi kukus,Vegan
75,89.0,1.1,0.1,21.0,Batatas kelapa ubi segar,Vegan
76,182.0,2.4,0.4,42.2,Batatas tali ubi rebus,Vegan
77,45.0,1.4,0.2,10.3,Bawang Bombay,Vegan
78,39.0,1.5,0.3,0.2,Bawang Merah,Vegan
79,95.0,4.5,0.2,23.1,Bawang Putih,Vegan
80,30.0,1.3,0.7,5.8,Bayam kukus,Vegan
81,51.0,4.6,0.5,10.0,Bayam Merah,Vegan
82,41.0,2.2,0.8,6.3,Bayam merah segar,Vegan
83,23.0,1.2,0.6,3.7,Bayam rebus,Vegan
84,36.0,3.5,0.5,6.5,Bayam segar,Vegan
85,102.0,3.7,6.7,6.9,Bayam tumis + oncom,Vegan
86,48.0,1.4,4.2,2.6,Bayam tumis bersantan,Vegan
87,326.0,16.0,28.6,0.0,Bebek (itik),Non-Vegetarian
88,303.0,11.3,27.0,3.7,Bebek alabio daging segar,Non-Vegetarian
89,300.0,24.0,20.7,4.5,Bebek daging goreng,Non-Vegetarian
90,65.0,1.1,5.2,3.5,Beberuk,Vegan
91,258.0,10.6,9.5,32.5,Beef burger,Non-Vegetarian
92,151.0,8.6,3.1,22.3,Beef teriyaki masakan,Non-Vegetarian
93,132.0,9.8,1.1,20.7,Beef yakiniku masakan,Non-Vegetarian
94,116.0,11.9,4.9,6.1,Bekasam,Non-Vegetarian
95,78.0,11.4,2.0,3.6,Bekasang,Non-Vegetarian
96,131.0,20.2,4.3,2.8,Belibis daging segar,Non-Vegetarian
97,36.0,0.4,0.4,8.8,Belimbing,Vegan
98,145.0,1.2,0.4,34.2,Belitung talas kukus,Vegan
99,417.0,25.9,19.4,32.0,Belut goreng,Non-Vegetarian
100,70.0,14.6,0.8,1.0,Belut segar,Non-Vegetarian
101,93.0,12.8,1.5,6.1,Belutlaut segar,Non-Vegetarian
102,55.0,1.4,0.2,12.8,Bengkuang,Vegan
103,98.0,1.6,0.7,20.9,Bentul (Komba)  talas segar,Vegan
104,71.0,2.3,0.3,15.4,Bentul talas kukus,Vegan
105,350.0,2.7,1.1,82.3,Beras Cerdas,Vegan
106,364.0,3.4,0.7,86.3,Beras ganyong,Vegan
107,360.0,6.8,0.7,78.9,Beras Giling,Vegan
108,178.0,2.1,0.1,40.6,Beras Giling masak (nasi) ,Vegan
109,357.0,8.4,1.7,77.1,Beras giling mentah,Vegan
110,369.0,9.5,1.4,77.1,Beras giling var pelita mentah,Vegan
111,357.0,8.4,1.7,77.1,Beras giling var rojolele mentah,Vegan
112,351.0,8.0,1.3,76.9,Beras hitam mentah,Vegan
113,358.0,5.5,0.1,82.7,Beras jagung kuning kering mentah,Vegan
114,307.0,4.8,0.1,71.8,Beras jagung putih kering mentah,Vegan
115,356.0,7.0,0.7,78.0,Beras Ketan Hitam,Vegan
116,181.0,4.0,1.2,37.3,Beras Ketan Hitam kukus,Vegan
117,166.0,3.8,1.0,34.4,Beras Ketan Hitam tape,Vegan
118,360.0,8.0,2.3,74.5,Beras Ketan Hitam tumbuk,Vegan
119,360.0,8.0,2.3,74.5,Beras ketan hitam tumbuk mentah,Vegan
120,362.0,6.7,0.7,79.4,Beras Ketan Putih,Vegan
121,163.0,3.0,0.4,35.7,Beras Ketan Putih kukus,Vegan
122,172.0,3.0,0.5,37.5,Beras Ketan Putih tape,Vegan
123,361.0,7.4,0.8,78.4,Beras Ketan Putih tumbuk,Vegan
124,361.0,7.4,0.8,78.4,Beras ketan putih tumbuk mentah,Vegan
125,376.0,7.5,3.8,78.0,Beras ladang mentah,Vegan
126,339.0,7.7,4.4,73.0,Beras Menir,Vegan
127,362.0,7.7,4.4,73.0,Beras menir mentah,Vegan
128,359.0,7.5,0.9,77.6,Beras Merah tumbuk,Vegan
129,364.0,6.8,0.6,80.1,Beras Parboiled,Vegan
130,353.0,6.8,0.6,80.0,Beras parboiled,Vegan
131,335.0,7.4,1.9,76.2,Beras Pecah Kulit,Vegan
132,363.0,7.6,1.1,78.3,Beras Setengah Giling,Vegan
133,344.0,1.1,0.2,28.3,Beras Siger,Vegan
134,354.0,7.8,0.4,79.9,Beras tumbuk mentah,Vegan
135,352.0,7.3,0.9,76.2,Beras tumbuk merah mentah,Vegan
136,145.0,16.3,7.0,4.1,Betok wadi masakan,Non-Vegetarian
137,360.0,4.7,0.1,82.1,Bihun,Vegan
138,154.0,3.0,4.5,25.5,Bihun Goreng ,Vegetarian
139,381.0,6.1,3.9,80.3,Bihun goreng instan,Vegetarian
140,354.0,0.5,0.3,87.4,Bihun Jagung mentah,Vegan
141,348.0,4.7,0.1,82.1,Bihun mentah,Vegan
142,562.0,21.2,49.6,23.6,Biji Jambu Mete,Vegan
143,629.0,21.5,56.6,19.8,Biji Jambu Mete goreng,Vegan
144,262.0,2.3,5.4,51.1,Biji nangka/Biji salak,Vegan
145,199.0,2.1,1.5,44.4,Bika ambon,Vegetarian
146,225.7,3.0,0.3,52.9,Bika Ambon ,Vegetarian
147,48.0,0.6,0.0,4.4,Bir (4% alkohol),Vegan
148,458.0,6.9,14.4,75.1,Biskuit,Vegetarian
149,42.0,1.6,0.1,9.6,Bit,Vegan
150,51.0,0.3,0.1,12.1,Biwah segar,Vegan
151,43.0,2.6,0.0,11.6,Bonggol Pisang,Vegan
152,245.0,3.4,0.0,66.2,Bonggol Pisang kering,Vegan
153,119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil),Vegan
154,23.0,1.0,0.8,7.2,Boros Kunci,Vegan
155,22.0,1.0,0.3,4.7,Boros Laja (lengkuas),Vegan
156,186.0,11.7,9.7,13.0,Botok lamtoro,Vegan
157,249.0,3.4,0.4,58.0,Brem,Vegan
158,400.0,4.0,0.7,95.3,Brondong ,Vegan
159,141.0,15.3,3.3,12.6,Brongkos,Non-Vegetarian
160,23.0,0.8,0.2,5.2,Buah Atung,Vegan
161,110.0,1.4,2.1,21.4,Buah kelenting segar,Vegan
162,38.0,1.5,0.2,7.5,Buah kelor,Vegan
163,264.0,4.0,1.1,59.6,Buah kom segar,Vegan
164,39.0,0.7,0.2,9.7,Buah Mentega (bisbul),Vegan
165,87.0,2.6,2.7,13.1,Buah merah,Vegan
166,71.0,1.7,3.1,9.1,Buah Naga Merah segar,Vegan
167,56.0,0.8,1.0,10.9,Buah Naga Putih segar,Vegan
168,55.0,1.2,0.1,12.2,Buah negri segar,Vegan
169,101.0,1.7,0.6,25.2,Buah Nona,Vegan
170,78.0,0.6,0.3,18.2,Buah rotan segar,Vegan
171,113.0,0.8,0.3,26.8,Buah rukam segar,Vegan
172,29.0,2.1,0.7,3.6,Buah ruruhi segar,Vegan
173,67.0,0.4,0.2,15.9,Buah tuppa segar,Vegan
174,365.0,49.6,4.8,30.8,Buaya daging dendeng mentah,Non-Vegetarian
175,60.0,1.0,60.0,13.0,Bubur ,Vegan
176,167.0,0.2,4.0,33.0,Bubur sagu,Vegan
177,156.0,2.3,0.2,15.6,Bubur tinotuan (Manado),Vegan
178,72.0,11.4,4.9,1.4,Bulgogi masakan,Non-Vegetarian
179,212.0,16.9,0.2,47.6,Bulung Jajan,Vegan
180,237.0,14.7,0.2,56.0,Bulung Sangu,Vegan
181,35.0,2.4,0.2,7.7,Buncis,Vegan
182,60.0,5.1,0.5,8.5,Buncis asam,Vegan
183,30.0,2.2,0.2,6.4,Buncis rebus,Vegan
184,45.0,2.6,0.3,8.1,Bunga pepaya segar,Vegan
185,42.0,2.0,1.1,6.1,Bunga turi segar,Vegan
186,333.0,29.3,3.3,50.0,Bungkil Biji Karet,Vegan
187,336.0,37.4,13.0,30.5,Bungkil Kacang Tanah,Vegan
188,368.0,23.0,15.0,40.0,Bungkil Kelapa,Vegan
189,106.0,4.4,6.3,7.9,Buntil ,Vegan
190,141.0,4.4,10.2,8.0,Buntil daun talas,Vegan
191,125.7,3.3,1.9,23.9,Buras ,Vegetarian
192,281.0,37.5,0.3,32.1,Burung sarang segar,Non-Vegetarian
193,38.0,1.6,0.8,6.3,Cabai gembor merah segar,Vegan
194,26.0,0.7,0.3,5.2,Cabai hijau segar,Vegan
195,367.0,15.9,6.2,61.8,Cabai merah kering,Vegan
196,36.0,1.0,0.3,7.3,Cabai merah segar,Vegan
197,120.0,4.7,2.4,19.9,Cabai rawit segar,Vegan
198,20.0,1.7,0.4,3.4,Caisin segar,Vegan
199,155.0,20.1,3.8,10.2,Cakalang asar (asap papua),Non-Vegetarian
200,323.0,4.9,11.5,50.1,Cake tape,Vegan
201,102.0,3.2,6.0,8.7,Cammetutu,Vegan
202,366.0,11.0,3.3,73.0,Cantel mentah,Vegan
203,97.0,5.8,6.3,4.2,Cap cai sayur,Vegan
204,24.0,1.9,0.2,3.7,Carica papaya segar,Vegan
205,460.0,0.8,18.7,17.2,Cassavastick,Vegan
206,116.0,3.0,0.4,28.6,Cempedak,Vegan
207,330.0,5.2,8.9,57.4,Cengkeh kering,Vegan
208,332.0,11.0,3.3,73.0,Centel,Vegan
209,462.0,1.2,20.7,67.7,Ceriping getuk singkong,Vegan
210,168.0,13.0,9.6,7.5,Chicken teriyaki masakan,Non-Vegetarian
211,143.0,9.8,1.4,22.8,Chikiniku masakan,Non-Vegetarian
212,311.0,8.0,4.0,48.9,Coklat bubuk,Vegan
213,472.0,2.0,29.8,62.7,Coklat Manis batang,Vegetarian
214,504.0,5.5,52.9,29.2,Coklat Pahit batang,Vegan
215,381.0,9.0,35.0,53.6,Coklat Susu batang,Vegetarian
216,210.0,1.6,6.6,35.8,Combro ,Vegan
217,241.0,16.0,25.0,0.0,Corned Beef,Non-Vegetarian
218,96.0,6.8,5.9,3.8,Coto mangkasara kuda masakan,Non-Vegetarian
219,84.0,6.0,6.0,1.4,Coto mangkasara sapi masakan,Non-Vegetarian
220,145.0,27.0,2.3,0.0,Cue Selar Kuning,Non-Vegetarian
221,12.0,0.1,0.1,5.0,Cuka,Vegan
222,265.0,40.6,10.1,0.0,Cumi-cumi goreng,Non-Vegetarian
223,75.0,16.1,0.7,0.1,Cumi-cumi segar,Non-Vegetarian
224,190.0,19.1,12.0,0.0,Daging Anak Sapi,Non-Vegetarian
225,191.0,32.0,6.0,0.0,Daging Asap,Non-Vegetarian
226,457.0,11.6,45.0,0.0,Daging Babi Gemuk,Non-Vegetarian
227,376.0,14.1,35.0,0.0,Daging Babi Kurus,Non-Vegetarian
228,206.0,17.1,14.8,0.0,Daging Domba,Non-Vegetarian
229,154.0,16.6,9.2,0.0,Daging Kambing,Non-Vegetarian
230,84.0,18.7,0.5,0.0,Daging Kerbau,Non-Vegetarian
231,118.0,18.1,4.1,0.9,Daging Kuda,Non-Vegetarian
232,207.0,18.8,14.0,0.0,Daging Sapi,Non-Vegetarian
233,27.0,1.3,0.6,4.0,Daun bangun-bangun segar,Vegan
234,29.0,1.8,0.7,5.2,Daun Bawang,Vegan
235,41.0,2.0,0.3,7.8,Daun bawang  merah segar,Vegan
236,41.0,2.7,1.0,7.3,Daun bebuas segar,Vegan
237,50.0,4.4,1.4,7.8,Daun belem segar,Vegan
238,42.0,1.8,0.5,9.4,Daun Beluntas,Vegan
239,122.0,6.0,1.0,26.0,Daun Cincau,Vegan
240,60.0,3.1,0.3,14.0,Daun Gandaria,Vegan
241,58.0,2.9,0.7,10.0,Daun gedi besar segar,Vegan
242,30.0,1.3,0.7,5.8,Daun gelang segar,Vegan
243,50.0,4.6,0.9,7.0,Daun gunda bali segar,Vegan
244,62.0,4.2,0.9,9.2,Daun gunda serang segar,Vegan
245,73.0,4.6,0.5,16.2,Daun Jambu Mete muda,Vegan
246,34.0,3.8,0.5,5.3,Daun jampang segar,Vegan
247,93.0,5.0,1.3,15.3,Daun jawaw seluang segar,Vegan
248,27.0,2.1,0.7,4.4,Daun jonghe segar,Vegan
249,36.0,2.9,0.6,6.8,Daun kacang ma segar,Vegan
250,34.0,4.1,0.4,5.8,Daun Kacang Panjang,Vegan
251,40.0,3.7,0.3,8.0,Daun Kacang Panjang kukus,Vegan
252,30.0,3.1,0.3,5.8,Daun kacang panjang segar,Vegan
253,92.0,4.0,3.6,10.9,Daun kasbi/singkong karet segar,Vegan
254,59.0,4.8,1.0,11.0,Daun Katuk,Vegan
255,53.0,5.3,0.9,9.1,Daun katuk rebus,Vegan
256,59.0,6.4,1.0,9.9,Daun katuk segar,Vegan
257,47.0,5.0,0.5,8.5,Daun Kecipir,Vegan
258,59.0,2.8,0.3,13.4,Daun Kedondong,Vegan
259,82.0,6.7,1.7,14.3,Daun Kelor,Vegan
260,61.0,6.1,0.9,10.0,Daun Kelor rebus,Vegan
261,46.0,4.0,0.5,8.9,Daun Kemangi,Vegan
262,45.0,3.7,0.5,6.6,Daun kenikir segar,Vegan
263,48.0,4.5,0.8,9.1,Daun kesum segar,Vegan
264,22.0,2.1,0.5,3.6,Daun kol sawi segar,Vegan
265,23.0,3.0,0.3,3.7,Daun Koro,Vegan
266,51.0,2.5,1.1,8.0,Daun kubis segar,Vegan
267,14.0,1.3,0.3,2.3,Daun Kumak,Vegan
268,60.0,4.0,0.4,4.7,Daun Labu Siam,Vegan
269,30.0,3.6,0.6,4.5,Daun Labu Waluh,Vegan
270,87.0,8.3,1.8,14.4,Daun lamtoro segar,Vegan
271,76.0,2.8,0.2,15.8,Daun leilem segar,Vegan
272,45.0,4.7,0.5,8.1,Daun Leunca,Vegan
273,30.0,2.3,0.4,5.8,Daun Lobak,Vegan
274,40.0,3.0,0.8,7.4,Daun Lompong Tales,Vegan
275,54.0,3.7,0.3,11.8,Daun Mangkokan,Vegan
276,71.0,6.8,1.6,11.5,Daun matel ambon segar,Vegan
277,99.0,5.0,1.3,21.3,Daun Melinjo,Vegan
278,63.0,3.8,1.5,11.5,Daun Mengkudu Kukus,Vegan
279,166.0,1.7,0.5,38.8,Daun ndusuk segar,Vegan
280,22.0,1.0,0.1,5.3,Daun Oyong,Vegan
281,22.0,1.0,0.1,5.3,Daun oyong segar,Vegan
282,35.0,4.0,0.3,6.4,Daun Pakis,Vegan
283,54.0,2.2,3.6,3.1,Daun pakis longgiho segar,Vegan
284,39.0,4.5,0.4,6.9,Daun pakis segar,Vegan
285,53.0,3.4,1.2,7.2,Daun pakis wambateu segar,Vegan
286,29.0,3.4,0.1,6.5,Daun paku segar,Vegan
287,104.0,3.9,0.6,17.9,Daun pangisegar,Vegan
288,49.0,2.7,1.0,8.4,Daun pare segar,Vegan
289,87.0,8.0,2.0,11.9,Daun pepaya segar,Vegan
290,128.0,12.0,6.5,12.4,Daun Pete Cina,Vegan
291,37.0,2.5,0.8,6.9,Daun Poh-pohan,Vegan
292,301.0,14.2,10.9,49.0,Daun salam  bubuk,Vegan
293,62.0,4.0,0.5,10.5,Daun selasih segar,Vegan
294,45.0,4.4,8.0,0.5,Daun Semanggi,Vegan
295,45.0,4.4,0.5,8.5,Daun semanggi segar,Vegan
296,53.0,3.2,2.5,7.6,Daun simpur segar,Vegan
297,68.0,2.0,1.0,15.2,Daun singkil segar,Vegan
298,73.0,6.8,1.2,13.0,Daun Singkong,Vegan
299,144.0,12.7,1.2,25.2,Daun singkong ambon segar,Vegan
300,50.0,6.2,1.1,7.1,Daun singkong ampenan segar,Vegan
301,74.0,6.3,0.7,10.7,Daun singkong kopang segar,Vegan
302,55.0,4.0,0.5,8.5,Daun Singkong lodeh,Vegan
303,31.0,3.7,0.6,4.8,Daun Singkong rebus,Vegan
304,50.0,6.2,1.1,7.1,Daun singkong segar,Vegan
305,36.0,2.6,0.9,6.1,Daun Sintrong,Vegan
306,27.0,1.3,0.2,5.9,Daun talas rebus,Vegan
307,59.0,3.0,0.4,13.5,Daun talas segar,Vegan
308,71.0,4.1,2.1,12.3,Daun Tales,Vegan
309,27.0,1.3,0.2,5.9,Daun Tales rebus,Vegan
310,70.0,2.9,0.3,13.9,Daun tespong segar,Vegan
311,47.0,2.8,0.4,10.4,Daun Ubi Jalar,Vegan
312,56.0,3.1,0.3,13.0,Daun Ubi Jalar kukus,Vegan
313,62.0,3.7,0.3,11.1,Daun ubi kuning segar,Vegan
314,56.0,3.1,0.3,13.0,Daun ubi merah kukus,Vegan
315,48.0,3.0,0.3,10.8,Daun ubi merah segar,Vegan
316,46.0,2.8,0.2,8.2,Daun ubi putih segar,Vegan
317,55.0,1.7,0.1,11.9,Daun ubi tinta segar,Vegan
318,260.0,2.0,15.0,53.0,Deblo ,Non-Vegetarian
319,382.0,55.7,14.1,8.0,Dendeng belut goreng,Non-Vegetarian
320,433.0,55.0,9.0,0.0,Dendeng Daging Sapi,Non-Vegetarian
321,598.0,74.3,26.9,9.2,Dendeng mujahir goreng,Non-Vegetarian
322,77.0,13.8,1.9,0.7,Dideh darah ayam,Non-Vegetarian
323,104.0,21.9,1.1,0.0,Dideh darah sapi,Non-Vegetarian
324,248.0,10.0,2.3,40.9,Djibokum masakan,Non-Vegetarian
325,395.0,3.0,5.7,81.2,Dodol,Vegan
326,298.0,3.7,2.1,65.9,Dodol bali,Vegan
327,368.0,2.6,8.6,70.0,Dodol banjarmasin,Vegan
328,348.0,0.4,3.8,76.1,Dodol galamai,Vegan
329,331.0,1.9,7.6,63.8,Dodol kedondong,Vegan
330,373.0,4.3,16.5,51.9,Dodol manado,Vegan
331,17.5,3.3,2.3,39.5,Dodonkol ,Non-Vegetarian
332,317.0,15.7,27.7,0.0,Domba daging gemuk segar,Non-Vegetarian
333,202.0,17.1,14.8,0.0,Domba daging kurus  segar,Non-Vegetarian
334,100.0,16.6,3.3,1.0,Domba ginjal segar,Non-Vegetarian
335,63.0,1.0,0.2,16.1,Duku,Vegan
336,134.0,2.5,3.0,28.0,Durian,Vegan
337,80.0,0.5,0.6,18.2,Duwet segar,Vegan
338,18.0,1.0,0.2,3.8,Eceng Gondok,Vegan
339,98.0,1.4,0.2,25.4,Embacang,Vegan
340,248.0,36.2,6.9,10.1,Empal (daging) Goreng masakan,Non-Vegetarian
341,590.0,18.5,57.0,0.0,Empal Goreng,Non-Vegetarian
342,345.0,12.0,1.5,71.5,Emping (kerupuk melinjo),Vegan
343,403.0,10.6,2.2,85.3,Emping beras,Vegan
344,355.0,17.8,4.6,60.7,Emping komak,Vegan
345,122.0,3.5,4.5,17.5,Encung asam segar,Vegan
346,538.0,13.6,30.3,52.6,Enting-enting gepuk hello kity,Vegan
347,524.0,13.3,29.2,52.0,Enting-enting gepuk kacang tanah,Vegan
348,565.0,18.2,38.4,36.8,Enting-enting wijen,Vegan
349,70.0,0.6,0.0,18.9,Erbis,Vegan
350,210.0,4.0,12.5,20.6,Es krim,Vegetarian
351,156.7,3.0,1.7,32.7,Es Krim (Coconut milk) ,Vegan
352,152.0,0.0,0.0,37.6,Es Mambo ,Vegan
353,44.8,0.0,0.0,11.3,Es Sirup ,Vegan
354,270.0,12.3,15.9,19.3,Fillet o-fish,Non-Vegetarian
355,322.0,2.4,0.6,76.6,Gadeng/Gadung kering,Vegan
356,137.0,6.1,3.2,21.0,Gado-gado,Vegetarian
357,88.0,0.8,0.3,20.9,Gadung kukus,Vegan
358,101.0,2.1,0.2,23.2,Gadung mentah,Vegan
359,88.0,0.6,0.3,20.9,Gadung ubi kukus,Vegan
360,100.0,0.9,0.3,23.5,Gadung ubi segar,Vegan
361,18.0,0.8,0.2,4.1,Gambas (Oyong),Vegan
362,13.0,0.3,0.6,1.6,Gambas lodeh,Vegan
363,68.0,0.7,0.1,18.0,Gandaria,Vegan
364,100.0,0.8,0.2,23.8,Ganyong kukus,Vegan
365,95.0,1.0,0.1,22.6,Ganyong mentah,Vegan
366,100.0,0.8,0.2,23.8,Ganyong rebus,Vegan
367,77.0,0.6,0.2,18.4,Ganyong segar,Vegan
368,338.0,1.5,0.7,81.3,Gaplek,Vegan
369,191.0,4.5,1.5,39.7,Gatep segar,Vegan
370,347.0,1.3,0.7,83.8,Gatot,Vegan
371,195.0,0.4,1.7,44.4,Geblek,Vegan
372,389.0,0.0,0.0,91.0,Gelatine,Non-Vegetarian
373,95.0,1.5,0.1,22.4,Gembili,Vegan
374,131.0,1.1,0.2,31.3,Gembili ubi segar,Vegan
375,274.0,1.7,5.4,55.5,Gemblong,Vegan
376,407.0,6.4,28.2,32.0,Gendar goreng,Vegan
377,35.0,1.7,0.2,7.7,Genjer segar,Vegan
378,350.0,1.4,14.4,53.6,Geplak,Vegan
379,462.0,3.1,24.4,57.7,Geplak jahe,Vegan
380,75.0,8.2,2.0,6.0,Gete kuah asam masakan,Non-Vegetarian
381,360.0,1.3,6.4,74.3,Getuk goreng,Vegan
382,171.4,4.0,4.0,32.0,Getuk Lindri ,Vegan
383,144.0,1.1,0.4,34.1,Getuk pisang,Vegan
384,204.0,0.5,1.4,47.4,Getuk singkong,Vegan
385,114.0,16.3,4.6,0.8,Ginjal Babi,Non-Vegetarian
386,105.0,16.6,3.3,1.0,Ginjal Domba,Non-Vegetarian
387,141.0,15.0,8.1,0.9,Ginjal Sapi,Non-Vegetarian
388,53.0,1.6,1.6,8.8,Gudeg ,Vegetarian
389,160.0,3.3,9.2,16.0,Gudeg sayur,Vegetarian
390,368.0,0.0,0.0,95.0,Gula Aren,Vegan
391,386.0,3.0,10.0,76.0,Gula Kelapa,Vegan
392,356.0,0.4,0.5,90.6,Gula Merah Tebu belum dimurnikan,Vegan
393,394.0,0.0,0.0,94.0,Gula putih,Vegan
394,52.0,10.0,0.5,1.8,Gulai asam keueung masakan,Non-Vegetarian
395,106.0,16.5,3.3,2.5,Gulai ikan masakan,Non-Vegetarian
396,148.0,10.0,9.8,5.0,Gulai ikan paya masakan,Non-Vegetarian
397,126.0,4.2,9.4,6.2,Gulai kambing,Non-Vegetarian
398,110.0,5.9,8.2,3.2,Gulai keumamah masakan,Non-Vegetarian
399,143.0,4.0,11.4,6.0,Gulai pakis,Vegetarian
400,176.0,7.3,14.9,3.2,Gulai pliek,Non-Vegetarian
401,132.0,9.0,7.2,7.8,Gulai tiram masakan,Non-Vegetarian
402,192.0,12.7,10.1,12.7,Gurame asem manis masakan,Non-Vegetarian
403,218.0,0.5,2.5,48.5,Gurandil,Non-Vegetarian
404,389.0,16.9,35.0,0.3,Ham,Non-Vegetarian
405,65.0,10.0,1.0,3.5,Hangop,Vegetarian
406,134.0,19.7,4.8,1.7,Hati Babi,Non-Vegetarian
407,136.0,19.7,3.2,6.0,Hati Sapi,Non-Vegetarian
408,390.0,14.2,7.4,68.2,Havermout,Vegan
409,127.0,1.2,0.5,29.5,Hofa/Ubi hutan segar,Vegan
410,146.0,17.7,5.9,5.6,Ikan asar merah masakan,Non-Vegetarian
